file	start	end	score	x_median_std_pec1	y_median_std_pec1	x_median_drift_pec1	y_median_drift_pec1	x_median_std_pec2	y_median_std_pec2	x_median_drift_pec2	y_median_drift_pec2	x_std	y_std	z_std
C_20230817T090339.000000Z_01	2023-08-17 09:04:47.164732	2023-08-17 09:14:07.684732	3.16	0.07400472948924974	0.23917969947575876	-5.099970412366411e-06	0.00011237101447787806	0.08743562872333478	0.24677017369365029	-7.914369449196117e-05	0.0001065948141193638	14.59237814255134	6.015904041759839	288.79895873314274
C_20230817T092238.000000Z_01	2023-08-17 09:23:46.166711	2023-08-17 09:33:06.686711	0.02	0.06428454027101285	0.16785473445404706	-7.444934474794844e-05	-0.00013685866026633646	0.09061682868850553	0.19539804689738155	0.00012317405411596882	-0.00015732932759664686	11.838366663304836	6.844217926767581	287.44003918839803
C_20230817T092238.000000Z_02	2023-08-17 09:38:24.168235	2023-08-17 09:39:53.688235	16.4	0.12311168138628016	0.31751550749530594	-0.0038314839687648597	-0.011067423355732953	0.09395899288387416	0.3077205487024606	-0.0024434760891384466	-0.010771954875257374	22.974021048004115	11.866468712211102	110.54419870660476
C_20230817T094137.000000Z_01	2023-08-17 09:42:45.168689	2023-08-17 09:52:05.688689	1.03	0.06233519494574899	0.22127660096706006	-1.720769055621381e-05	-2.007296139485185e-05	0.0922120383672237	0.22136851303944535	0.00013181277708039984	-8.17938262123099e-05	14.821949425269379	6.095735171405926	259.97892978983316
C_20230817T094137.000000Z_02	2023-08-17 09:57:23.170213	2023-08-17 09:58:52.690213	1.7	0.06549508300963602	0.0651187365030277	-0.001058800876934604	0.0013079426965368233	0.06974417426389286	0.062345684493752426	-0.0005726611847091206	0.0012632699240823996	6.8260499707585085	12.387721181050672	42.103762510978896
C_20230817T100036.000000Z_01	2023-08-17 10:01:44.170667	2023-08-17 10:11:04.690667	0.38	0.07485335402146831	0.20866093972900962	3.2796205972947854e-05	0.000224345945818608	0.08318134294945745	0.19602601938949854	-3.9414888527891385e-05	0.0001984823289418744	12.995063430296423	7.121830384482304	277.4874116872385
C_20230817T100036.000000Z_02	2023-08-17 10:16:22.172192	2023-08-17 10:17:51.692192	21.33	0.06743618016905703	0.2887230905403639	-8.767264260252589e-05	0.010025137556259237	0.07065576187681824	0.2911659031702904	-0.0017002772931641185	0.010126225847333414	15.884729344259918	11.462661363561626	241.91518164973826
C_20230817T102119.000000Z_01	2023-08-17 10:22:27.172826	2023-08-17 10:31:47.692826	0.53	0.06880521153302473	0.20524624509620484	1.1692446589227871e-05	-1.2687804252862069e-05	0.0750977859871666	0.2176153474016089	-3.791818426616062e-05	-2.4181084962746966e-05	14.065247462573113	6.438914015242113	249.366310845942
C_20230817T104018.000000Z_01	2023-08-17 10:41:26.174803	2023-08-17 10:50:46.694803	0.11	0.0535027714810801	0.1781623254364951	-8.971866073280077e-05	-0.0002167951840388294	0.07241928207931736	0.18512370109782322	0.00010216233972752645	-0.0002493398915946009	9.321365545701628	5.431650594880985	246.9613372886378
C_20230817T104018.000000Z_02	2023-08-17 10:56:04.176327	2023-08-17 10:57:33.696327	1.19	0.04600518992461784	0.07589577969172893	-0.00036537731158050305	-0.0005101593854937289	0.07946672628176203	0.06723119974200263	-0.0021457019612697694	-0.0003343223545264335	13.11301538775863	6.130960960847084	66.81454460149304
