ROWNUM,object_id,+PRIVILEGES,project_id,Data.AxisNumber,Data.CompressionAlgorithm,Data.DataLength,Data.DataSize,Data.ImgNumber,Data.InstrumentMode,Data.ObservationMode,Data.OnBoardSoftwareVersion,Data.PlanningId,Data.SimInputConfId,Data.VisNominalChain,Data.VisSequence,Data.VisSequenceEndTime,Data.ObservationDateTime.MJD,Data.ObservationDateTime.OBT,Data.ObservationDateTime.UTC,Data.FrameFitsFile.Format,Data.FrameFitsFile.Version,Data.ExposureTime.Unit,Data.ExposureTime.Value,Data.FrameFitsFile.DataContainer.ChecksumMethod,Data.FrameFitsFile.DataContainer.ChecksumValue,Data.FrameFitsFile.DataContainer.FileName,Data.FrameFitsFile.DataContainer.Filestatus,OBJECT_ID$
1,02051DBBA65ADB2DE0632F061AAC5E2C,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12296,,"false","Nominal/Short",1970-02-01 22:41:09.731000,60158.2760520685,1970-02-01 22:30:25.084000,2023-08-02 06:37:30.898718,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-00000-1-E_20230802T063727.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
2,02052660A87EEE09E0632F061AACF0A2,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12297,,"false","Nominal/Short",1970-02-01 22:47:46.523000,60158.28621412318,1970-02-01 22:45:03.084000,2023-08-02 06:52:08.900243,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-00000-1-E_20230802T063727.000000Z_02_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
3,02052F9B1D750970E0632F061AACBE44,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12297,,"false","Nominal/Short",1970-02-01 22:58:32.155000,60158.28811227926,1970-02-01 22:47:47.484000,2023-08-02 06:54:52.900928,"le1.visRawImage","0.2","s",0.0,,,"EUC_LE1_VIS-00000-1-E_20230802T065448.000000Z_01_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
4,0205384ADCAB2262E0632F061AAC50E0,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",12297,,"false","Nominal/Short",1970-02-01 23:05:17.783000,60158.29826275522,1970-02-01 23:02:24.084000,2023-08-02 07:09:29.902051,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-00000-1-E_20230802T065448.000000Z_02_01_00.01.fits.gz","PROPOSED","DpdVisRawFrame"
5,0206878CC537F3E6E0632F061AACA307,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147507840,,"false","Nominal/Short",1970-02-02 21:17:04.752000,60159.21766250002,1970-02-02 21:06:20.084000,2023-08-03 05:13:26.040002,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T051304.000000Z_01_01_01.00.fits.gz","PROPOSED","DpdVisRawFrame"
6,020692315049058AE0632F061AAC18A9,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147507328,,"false","Nominal/Short",1970-02-02 20:04:00.726000,60159.16692167115,1970-02-02 19:53:16.083000,2023-08-03 04:00:22.032387,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T040000.000000Z_01_01_01.00.fits.gz","PROPOSED","DpdVisRawFrame"
7,02069B33F4AA13C3E0632F061AAC7894,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147507456,,"false","Nominal/Short",1970-02-02 20:28:29.725000,60159.18937541385,1970-02-02 20:25:36.083000,2023-08-03 04:32:42.035757,"le1.visRawImage","0.2","s",89.52,,,"EUC_LE1_VIS-65536-1-C_20230803T041804.000000Z_02_01_01.00.fits.gz","PROPOSED","DpdVisRawFrame"
8,020EEC5A9BE91BD2E0632F061AACFC14,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147514752,,"false","Nominal/Short",1970-02-03 13:42:20.840000,60159.90187665121,1970-02-03 13:31:36.084000,2023-08-03 21:38:42.142665,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T213842.000000Z_01_01_01.00.fits.gz","PROPOSED","DpdVisRawFrame"
9,020F1A728D805D89E0632F061AAC9F3F,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147514880,,"false","Nominal/Short",1970-02-03 14:00:02.862000,60159.91416833924,1970-02-03 13:49:18.085000,2023-08-03 21:56:24.144510,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T215624.000000Z_01_01_01.00.fits.gz","PROPOSED","DpdVisRawFrame"
10,020F3B83AC6885ECE0632F061AACC6A0,3,30,2,"CCSDS121_REORDERING",4439008,16,144,"Science","WIDE","3.1.2",2147508352,,"false","Nominal/Short",1970-02-02 22:30:08.943000,60159.26840332888,1970-02-02 22:19:24.084000,2023-08-03 06:26:30.047615,"le1.visRawImage","0.2","s",560.52,,,"EUC_LE1_VIS-65536-1-C_20230803T062608.000000Z_01_01_01.00.fits.gz","PROPOSED","DpdVisRawFrame"
